career_name,skill_name
Software Developer,Python Programming
Software Developer,SQL
Software Developer,System Design
Software Developer,Version Control (Git)
Software Developer,Cloud Computing (AWS/Azure)
Data Scientist,Python Programming
Data Scientist,SQL
Data Scientist,Machine Learning
Data Scientist,Data Analysis
Doctor (General Physician),Medical Diagnosis
Doctor (General Physician),Patient Care
Civil Engineer,Structural Analysis
Civil Engineer,AutoCAD
Civil Engineer,Project Management
Chartered Accountant,Financial Modeling
Chartered Accountant,Auditing & Taxation
Graphic Designer,Adobe Creative Suite
Graphic Designer,UI/UX Design Principles
Marketing Manager,Digital Marketing & SEO
Marketing Manager,Public Relations
Architect,AutoCAD
Architect,Project Management
Lawyer,Legal Research
Lawyer,Client Counseling
UI/UX Designer,UI/UX Design Principles
Mechanical Engineer,Mechanical Design
Pharmacist,Pharmacology
Teacher / Professor,Teaching & Pedagogy
Financial Analyst,Financial Modeling
Content Writer / Copywriter,Content Writing
Human Resources (HR) Manager,Talent Acquisition
Chef / Culinary Artist,Culinary Arts
AI / ML Engineer,Python Programming
AI / ML Engineer,Machine Learning
Commercial Pilot,Flight Navigation
Social Worker,Client Counseling